"year","n_papers","n_winsor","frac_winsor"
1911,85,0,0
1912,87,1,0.0114942528735632
1913,65,0,0
1914,89,0,0
1915,101,0,0
1916,110,0,0
1917,119,0,0
1918,100,0,0
1919,117,0,0
1920,113,0,0
1921,79,0,0
1922,83,0,0
1923,85,0,0
1924,111,0,0
1925,117,0,0
1926,110,0,0
1927,90,0,0
1928,100,0,0
1929,106,1,0.00943396226415094
1930,122,0,0
1931,113,0,0
1932,114,0,0
1933,110,0,0
1934,106,0,0
1935,130,0,0
1936,151,0,0
1937,148,1,0.00675675675675676
1938,110,0,0
1939,135,0,0
1940,182,0,0
1941,162,0,0
1942,104,0,0
1943,107,0,0
1944,94,0,0
1945,107,0,0
1946,121,0,0
1947,130,1,0.00769230769230769
1948,87,1,0.0114942528735632
1949,101,1,0.0099009900990099
1950,108,0,0
1951,133,1,0.0075187969924812
1952,109,0,0
1953,104,0,0
1954,114,0,0
1955,96,0,0
1956,100,0,0
1957,105,0,0
1958,108,0,0
1959,101,1,0.0099009900990099
1960,118,0,0
1961,108,1,0.00925925925925926
1962,106,0,0
1963,114,1,0.0087719298245614
1964,134,0,0
1965,128,1,0.0078125
1966,125,0,0
1967,155,0,0
1968,164,0,0
1969,186,0,0
1970,196,0,0
1971,182,0,0
1972,212,0,0
1973,175,0,0
1974,198,0,0
1975,175,0,0
1976,189,0,0
1977,185,1,0.00540540540540541
1978,193,0,0
1979,186,0,0
1980,208,0,0
1981,193,0,0
1982,194,0,0
1983,196,0,0
1984,211,0,0
1985,206,0,0
1986,207,1,0.00483091787439614
1987,157,0,0
1988,185,0,0
1989,188,1,0.00531914893617021
1990,186,0,0
1991,181,1,0.00552486187845304
1992,194,0,0
1993,175,1,0.00571428571428571
1994,180,0,0
1995,172,3,0.0174418604651163
1996,165,3,0.0181818181818182
1997,161,0,0
1998,163,2,0.0122699386503067
1999,159,1,0.00628930817610063
2000,183,4,0.0218579234972678
2001,182,2,0.010989010989011
2002,190,5,0.0263157894736842
2003,185,4,0.0216216216216216
2004,178,0,0
2005,183,2,0.0109289617486339
2006,189,3,0.0158730158730159
2007,191,3,0.0157068062827225
2008,190,4,0.0210526315789474
2009,202,6,0.0297029702970297
2010,224,5,0.0223214285714286
2011,248,8,0.032258064516129
2012,242,6,0.0247933884297521
2013,222,11,0.0495495495495495
2014,247,14,0.0566801619433198
2015,235,15,0.0638297872340425
2016,252,13,0.0515873015873016
2017,249,15,0.0602409638554217
2018,113,15,0.132743362831858
2019,126,19,0.150793650793651
2020,118,19,0.161016949152542
2021,115,18,0.156521739130435
2022,116,14,0.120689655172414
2023,96,10,0.104166666666667
2024,111,17,0.153153153153153
2025,121,26,0.214876033057851
